Group,Share
A total ban on personal devices during school hours (bell-to-bell),34.46%
Allow personal device use only during breaks or recess,39.81%
Let teachers decide how to enforce phone restrictions in their classrooms,15.55%
No restrictions; allow students to decide when to use their devices,2.42%
Other (please specify),1.08%
Don’t know,6.69%
